Word	PartOfSpeech	Definition
Nhu		Animal
Eh		Wing
Ne		Cat
Nevul		Dog
Kivul		Fox
Kovul		Wolf
Ravul		Bear
Una		Fish
Awk		Bird
Mo		Cow
Gha		Pig
Sul		Mouse
Mar		Horse
Rapiamarrabuk		Train
Marraawk		Plane
Marbuk		Car
Marrabuk		Truck
Mimarbuk		Bicycle
Marra		Bus
Samarbuk		Boat
Samarrabuk		Ship
Buk		Tire
Assa		Gasoline
Komar		Engine
		(train) Ticket
Kopiameyti		Transportation
Mp		City
Mise		House
Dekimise		Apartment
Gah		Street/Road
Marraawkmihe		Airport
Rasemarrabukmihe		Train Station
Gaheheh		Bridge
		Hotel
Dn		Restaurant
Le		Farm
Kyhe		Court
Ka		School
Hepi		Office
Pi		Room
Kimp		Town
Koka		University
Hahesadn		Club
Sadn 		Bar
Hahele		Park
Hahelemise		Camp
Nd 		Store/Shop
Hahe		Theater/Recreation/Ent
Luhe		Libarary
Ahzahhe		Hospital
Munmise		Church/Temple
Lend		Market
Ramise		Country
He		Building
Pia		Ground/Land
Ae		Space (outer)
Canhe		Bank
Me		Location
Lo		Faraway
Komimikg		People's Repubic
Kgexkomi		Republic
		Hat
		Dress
Pity		Suit
Ti		Shirt
Kiti		T-Shirt
		Pants
Te		Shoes
		Pockets
Junti		Coat
		Stain
Ty		Clothing
		Red
		Green
Casa		Blue (light/dark)
		Yellow
		Brown
		Pink
		Orange
Cazah		Black
Camun		White
		Gray
Ca		Color
Komi		People
Mieb		Son
Mina		Daughter
Aniv		Mother
Ebiv		Father
Kisi		Baby
Eb		Man
An		Woman
Miisbe		Brother
Miisna		Sister
Mikomi		Family
Gkinebiv		Grandfather
Gkinaniv		Grandmother
Mieb		Husband
Mian		Wife
Munmieb		King
Munmian		Queen
Mew Mixekomi		President (leader)
Mewmikomi		Neighbor
Be		Boy
Na		Girl
Is		Child
Si		Adult
Hueb		Round + Man "Human"
Peeb		Sharp + Man "Elves"
Kivulpeeb		Vulpine
Ravulhueb		Ursine
Kovulpeeb		Lupine
Kihueb		Dwarves
Sulhueb		Lutryne
Mimi		Friend
		Victim
		Player
		Fan
Kokomi		Crowd
Mi		Person
Mewmimi		Honored Friend
Kaien		Teacher
Kikaien		Student
Kyluen		Lawyer
Mewahzahen		Doctor
Mimiahzah		Patient
Denen		Waiter
		Secretary
Munmimi		Priest
Ooen		Police
Raooen		Army
Reraooen		Soldier
Ahen		Artist
Ahluen		Author
		Manager
Kilumibqawmien		Reporter
		Actor
En		Job
Ahzamimi 		Oracle
Kakmimi 		Seer
Komixemun		religion
Munmise		heaven
Zahmise		hell
Zah		death
		medicine
Can		money
Recan		dollar
		bill
		marriage
		wedding
		team
		relationship
		race (ethnicity)
		sex (the act)
		sex (gender)
		murder
		prison
		technology
		energy
		war
		peace
		attack
		election
		magazine
		newspaper
		poison
		gun
		sport
		race (sport)
		exercise
		ball
		game
		price
		contract
		drug
		sign
		science
Ahxemun		God
Kilumixekomi		language
Kilu		Word
Kilumi		Word's
Miahzakak		Servant 
Munmiahzakak		God's Servants
Mun		God
Ahxemun		Mun
		band
		song
		instrument (musical)
		music
		movie
		art
		coffee
		tea
		wine
		beer
		juice
		water
		milk
		beverage
		egg
		cheese
		bread
		soup
		cake
		chicken
		pork
		beef
		apple
		banana
		orange
		lemon
		corn
		rice
		oil
		seed
		knife
		spoon
		fork
		plate
		cup
		breakfast
		lunch
		dinner
		sugar
		salt
		bottle
		food
		table
		chair
		bed
		dream
		window
		door
		bedroom
		kitchen
		bathroom
		pencil
		pen
		photograph
		soap
		book
		page
		key
		paint
		letter
		note
		wall
		paper
		floor
		ceiling
		roof
		pool
		lock
		telephone
		garden
		yard
		needle
		bag
		box
		gift
		card
		ring
		tool
		clock
		lamp
		fan
		cell phone
		network
		computer
		program (computer)
		laptop
		screen
		camera
		television
		radio
Kikiassak		microwave
		head
		neck
		face
		beard
		hair
		eye
		mouth*
		lip*
		nose
		tooth
		ear
		tear (drop)
		tongue
		back
		toe
		finger
		foot
		hand
		leg
		arm
		shoulder
		heart
		blood
		brain
		knee
		sweat
		disease
		bone
Mikilu		voice
		skin
		body
		sea*
Korasak		ocean*
Tisase 		river
		mountain
		rain
		snow
In		tree
		sun
		moon
		world
		Earth
Koin		forest
		sky
Ni		plant
		wind
		soil/earth
Cani		flower
Tisasedzse		valley
		root
Wasase		lake
		star
